更新时间,#genre#
20260605 03:25,url

RespoTime,whitelist,#genre#
0.01ms,康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
0.01ms,兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
0.01ms,纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
0.01ms,安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
0.01ms,辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
0.01ms,山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
0.01ms,陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
0.01ms,宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
0.01ms,宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
0.01ms,青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
0.01ms,西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
0.01ms,新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
0.01ms,卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
0.01ms,西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
0.01ms,优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
0.01ms,新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
0.01ms,哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
0.01ms,金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
0.01ms,黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
0.01ms,黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
0.01ms,超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
0.01ms,CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
0.01ms,CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
0.01ms,黑龙江｜佳木斯新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
0.01ms,黑龙江｜鹤岗新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
0.01ms,哒啵赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
0.01ms,金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
0.01ms,精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
0.01ms,CHC动作,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
0.01ms,NewTV爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
0.01ms,NewTV潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
0.01ms,NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
0.01ms,NewTV古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
0.01ms,NewTV海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
0.01ms,NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
0.01ms,NewTV精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
0.01ms,NewTV精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
0.01ms,NewTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
0.01ms,NewTV军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
0.01ms,NewTV军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
0.01ms,NewTV明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
0.01ms,NewTV农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
0.01ms,NewTV武搏世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
0.01ms,NewTV中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
0.01ms,NewTV 炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
0.01ms,NewTV 怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
0.01ms,CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
0.01ms,CGTN英语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
0.01ms,CGTN西语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
0.01ms,CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
0.01ms,CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
0.01ms,CGTN阿语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
0.01ms,CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
0.01ms,超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
0.01ms,睛彩青少,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
0.01ms,家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
0.01ms,CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
0.01ms,湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
0.01ms,浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
0.01ms,东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
0.01ms,北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
0.01ms,江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
0.01ms,重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
0.01ms,东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
0.01ms,深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
0.01ms,广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
0.01ms,广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
0.01ms,甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
0.01ms,黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8
0.01ms,内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
0.01ms,青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
0.01ms,天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
0.01ms,云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
0.01ms,延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
0.01ms,山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
0.01ms,睛彩篮球,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
0.01ms,超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
0.01ms,陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
0.01ms,睛彩竞技,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
0.01ms,纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
0.01ms,超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
31.94ms,ET Mall 60,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
32.39ms,民视新闻HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
33.57ms,澳门综艺,http://cdn6.163189.xyz/163189/amzy
33.85ms,翡翠台,http://cdn6.163189.xyz/163189/fct
34.27ms,新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
34.97ms,翡翠台4K,http://cdn6.163189.xyz/163189/fct4k
36.00ms,LoveWorld USA (720p),https://cdn3.wowza.com/5/RGtVZkFxL3FOQkxX/LWU/ngrp:lwu.stream_all/playlist.m3u8
38.60ms,TVB星河,http://o11.163189.xyz/stream/live/tvbxh/
38.63ms,黑龍江衛視,https://t.freetv.fun/live/hei-long-jiang-wei-shi-8.m3u8
38.79ms,КИНОКОМЕДИЯ,https://t.freetv.fun/live/kinokomediia-1.m3u8
38.97ms,信大,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
38.99ms,华视HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
39.11ms,CCTV15,https://xykt-fix.github.io/play/a02e/index.m3u8
39.17ms,中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
39.19ms,有線新聞,https://t.freetv.fun/live/you-xian-xin-wen-tai-3.m3u8
39.20ms,Outdoor Channel HD,https://t.freetv.fun/live/outdoor.m3u8
39.22ms,CCTV9576,https://xykt-fix.github.io/Y77.m3u8
39.30ms,NU2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
39.31ms,汕頭綜合,https://t.freetv.fun/live/shan-tou-zong-he-gao-qing-8.m3u8
39.31ms,Haber Turk,https://t.freetv.fun/live/turk-haber.m3u8
39.31ms,Taiwan Plus TV,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
39.32ms,PBS Kids,https://t.freetv.fun/live/pbs-kids-pacific.m3u8
39.52ms,揭陽新聞綜合,https://t.freetv.fun/live/jie-yang-zong-he-gao-qing-27.m3u8
39.57ms,Momo 1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
39.70ms,DW,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
39.85ms,湖北衛視,https://t.freetv.fun/live/hu-bei-wei-shi-3.m3u8
39.87ms,India TV,https://t.freetv.fun/live/india-tv.m3u8
39.91ms,OMAN 2,https://t.freetv.fun/live/oman-mubashir.m3u8
39.91ms,HOY 77,http://cdn.163189.xyz/163189/hoy
39.96ms,東森財經新聞,https://t.freetv.fun/live/dong-sen-cai-jing-xin-wen-2.m3u8
40.18ms,廣東少兒,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-14.m3u8
40.33ms,Canal eduvision,https://t.freetv.fun/live/canal-multivision.m3u8
40.54ms,深圳衛視,https://t.freetv.fun/live/shen-zhen-wei-shi-27.m3u8
40.65ms,廣東少兒,https://t.freetv.fun/live/yan-dong-shao-er-14.m3u8
40.65ms,TVR Ruzinov,https://t.freetv.fun/live/tvr.m3u8
40.78ms,RTHK 32,http://cdn.163189.xyz/163189/rthk32
40.85ms,Favorit TV,https://t.freetv.fun/live/fort-tv-480p.m3u8
40.88ms,深圳衛視,https://t.freetv.fun/live/shen-zhen-wei-shi-2.m3u8
41.03ms,OK Magdeburg,https://t.freetv.fun/live/de-guo-ok-magdeburg-1.m3u8
41.19ms,廣東影視,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-1.m3u8
41.22ms,НТВ,https://t.freetv.fun/live/ntv-mir.m3u8
41.25ms,Igreja Online TV,https://t.freetv.fun/live/vc-online.m3u8
41.25ms,广东珠江,https://stream1.freetv.fun/3e6c646d717a824425bca6f4f12c9091cc4725ab1afa8227b24b7a5bc6fcb019.m3u8
41.31ms,浙江少兒頻道,https://t.freetv.fun/live/zhe-jiang-shao-er-10.m3u8
41.31ms,CBC News (1080p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master1080P.m3u8
41.32ms,宜興新聞,https://t.freetv.fun/live/yi-xing-xin-wen-1.m3u8
41.33ms,海峽衛視,https://t.freetv.fun/live/hai-xia-wei-shi-5.m3u8
41.37ms,TVB明珠,http://cdn6.163189.xyz/163189/mzt
41.40ms,星空卫视,https://t.freetv.fun/live/xing-kong-wei-shi.m3u8
41.45ms,Newsmax,https://t.freetv.fun/live/newsmax-tv.m3u8
41.50ms,耀才財經臺,https://t.freetv.fun/live/yao-cai-cai-jing-2.m3u8
41.52ms,深圳衛視,https://t.freetv.fun/live/shen-zhen-wei-shi-6.m3u8
41.54ms,紹興文化影視,https://t.freetv.fun/live/shao-xing-wen-hua-ying-yuan-2.m3u8
41.58ms,內江科教生活,https://t.freetv.fun/live/nei-jiang-ke-jiao-sheng-huo.m3u8
41.61ms,Матч ТВ,https://t.freetv.fun/live/match-tv-5.m3u8
41.62ms,東南衛視,https://t.freetv.fun/live/dong-nan-wei-shi-3.m3u8
41.63ms,寰宇新聞[geo-blocked],https://t.freetv.fun/live/huan-yu-xin-wen-21.m3u8
41.73ms,ШАНСОН ТВ,https://t.freetv.fun/live/shanson-tv-3.m3u8
41.79ms,八大綜藝,https://t.freetv.fun/live/ba-da-zong-yi-1.m3u8
41.80ms,影迷數位電影臺,https://t.freetv.fun/live/ying-mi-shu-wei-dian-ying-1.m3u8
41.82ms,潮州綜合,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-14.m3u8
41.86ms,翡翠剧集,https://6.cdn.loc.cc/163189.php?id=tvbd
41.86ms,Cozi TV (404p),http://173.225.32.123/Cozi-2358/index.m3u8
41.96ms,深圳電視劇,https://t.freetv.fun/live/shen-zhen-dian-shi-ju.m3u8
42.00ms,厦门卫视,https://stream1.freetv.fun/f8d1629f014d910f22eba5798df47afb57a1636020d0ef99783649dc37c7a627.m3u8
42.04ms,浙江衛視,https://t.freetv.fun/live/zhe-jiang-wei-shi-31.m3u8
42.12ms,Mystery Science Theater 3000,https://t.freetv.fun/live/mei-guo-mystery-science-theater-3000-1.m3u8
42.14ms,浙江經濟生活,https://t.freetv.fun/live/zhe-jiang-jing-ji-1.m3u8
42.17ms,東方衛視,https://t.freetv.fun/live/dong-fang-wei-shi-13.m3u8
42.19ms,大灣區衛視,https://t.freetv.fun/live/da-wan-qu-wei-shi-gao-qing-9.m3u8
42.21ms,青海卫视,https://stream1.freetv.fun/a046ae7d7d283d2ed24ee4d82ddbb7a9169814a362862f2e340909c8be3bfab7.m3u8
42.22ms,潮州綜合,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-13.m3u8
42.22ms,Newsmax,https://t.freetv.fun/live/newsmax-2-2.m3u8
42.24ms,唯心電視,https://t.freetv.fun/live/wei-xin-dian-shi-1.m3u8
42.25ms,National TV,https://t.freetv.fun/live/traditional-tv.m3u8
42.27ms,NET TV,https://t.freetv.fun/live/net-tv.m3u8
42.30ms,Amazon SAT,https://t.freetv.fun/live/amazon-sat-1.m3u8
42.35ms,廣東民生,https://t.freetv.fun/live/yan-dong-min-sheng-gao-qing-21.m3u8
42.35ms,DISCOVERY CHANEL,https://t.freetv.fun/live/discovery-channel-1-1.m3u8
42.41ms,Nickelodeon  (UK),https://t.freetv.fun/live/nickelodeon-australia.m3u8
42.42ms,兵團衛視,https://t.freetv.fun/live/bing-tuan-wei-shi.m3u8
42.42ms,廣東少兒,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-27.m3u8
42.43ms,K+1 HD,https://t.freetv.fun/live/quest-plus-1.m3u8
42.47ms,內蒙古衛視,https://t.freetv.fun/live/nei-meng-gu-wei-shi-11.m3u8
42.48ms,Ajman tv,https://t.freetv.fun/live/anjan-tv-1.m3u8
42.52ms,西藏衛視,https://t.freetv.fun/live/xi-cang-wei-shi-13.m3u8
42.56ms,Karbala TV,https://t.freetv.fun/live/karbala-doc.m3u8
42.56ms,HUBPREMIER EFL 2,https://t.freetv.fun/live/hub-premier-2.m3u8
42.58ms,PUBLIC TV,https://t.freetv.fun/live/ch-ng-public-agent.m3u8
42.58ms,KHL TB Россия,https://t.freetv.fun/live/khl-1.m3u8
42.62ms,西安新聞綜合,https://t.freetv.fun/live/xi-an-xin-wen-zong-he.m3u8
42.69ms,NAT GEO WILD,https://t.freetv.fun/live/nat-geo-wild-3.m3u8
42.72ms,Ortm,https://t.freetv.fun/live/ortm1.m3u8
42.73ms,智林體育,https://t.freetv.fun/live/zhi-lin-ti-yu-2.m3u8
42.75ms,湖南衛視,https://t.freetv.fun/live/hu-nan-wei-shi-12.m3u8
42.79ms,大灣區衛視,https://t.freetv.fun/live/da-wan-qu-wei-shi-gao-qing-19.m3u8
42.80ms,寧夏衛視,https://t.freetv.fun/live/zhu-xia-wei-shi-1.m3u8
42.85ms,ECO,https://t.freetv.fun/live/eco-tv.m3u8
42.85ms,RTS 2 Serbia,https://t.freetv.fun/live/rts.m3u8
42.89ms,北京衛視,https://t.freetv.fun/live/bei-jing-wei-shi-15.m3u8
42.92ms,PUBLIC TV,https://t.freetv.fun/live/public-tv.m3u8
42.92ms,НТВ,https://t.freetv.fun/live/ntv-6.m3u8
42.94ms,MOVIE MOVIE,https://t.freetv.fun/live/mytime-movie-network-4.m3u8
42.95ms,台視新聞,https://t.freetv.fun/live/tai-shi-xin-wen-3.m3u8
42.98ms,METRO TV,https://t.freetv.fun/live/metro-tv-2.m3u8
42.99ms,廣東新聞,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-2.m3u8
43.04ms,人間衛視,https://t.freetv.fun/live/ren-jian-wei-shi-7.m3u8
43.15ms,泰安經濟生活,https://t.freetv.fun/live/tai-zhou-jing-ji-sheng-huo.m3u8
43.21ms,Kuwait Tv 1,https://t.freetv.fun/live/kuwait-tv-1.m3u8
43.24ms,MOVIE MOVIE,https://t.freetv.fun/live/movie-bangla.m3u8
43.26ms,江西卫视,https://stream1.freetv.fun/80bca95b03df18436dd135e8407012a9564496bd5c807844f6d9f5826bd3d57a.m3u8
43.29ms,Телеканал Звезда Россия,https://t.freetv.fun/live/zvezda-4.m3u8
43.37ms,Maah TV,https://t.freetv.fun/live/maah-tv-720p-not-24-7-1.m3u8
43.40ms,廣東移動頻道,https://t.freetv.fun/live/yan-dong-yi-dong.m3u8
43.40ms,Center TV,https://t.freetv.fun/live/center-tv.m3u8
43.41ms,M6 Music  (FR),https://t.freetv.fun/live/music-6.m3u8
43.42ms,民視新聞,https://t.freetv.fun/live/min-shi-xin-wen-hd-1.m3u8
43.45ms,BANAT TV,https://t.freetv.fun/live/banjar-tv-1.m3u8
43.49ms,東方衛視,https://t.freetv.fun/live/dong-fang-wei-shi-36.m3u8
43.49ms,HADI TV 4,https://t.freetv.fun/live/hadi-tv-3.m3u8
43.51ms,潮州綜合,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-27.m3u8
43.52ms,K Plus,https://t.freetv.fun/live/ctvn-akd-plus.m3u8
43.58ms,ТНТ,https://t.freetv.fun/live/tnt-4.m3u8
43.59ms,浙江民生休閒,https://t.freetv.fun/live/zhe-jiang-min-sheng-10.m3u8
43.63ms,IRIB,https://t.freetv.fun/live/irib4.m3u8
43.70ms,海南卫视,https://stream1.freetv.fun/eb41049bd834ddfb4cd47ed858ee349a815138cb85042afded58871be645cc67.m3u8
43.71ms,Kurdistan 24,https://t.freetv.fun/live/kurdistan-24.m3u8
43.73ms,Formula TV,https://t.freetv.fun/live/fortuna-tv-1.m3u8
43.75ms,浙江少兒頻道,https://t.freetv.fun/live/zhe-jiang-shao-er-5.m3u8
43.75ms,[HD]bbc persian,https://t.freetv.fun/live/bbc-persian.m3u8
43.76ms,Đồng Tháp TV,https://t.freetv.fun/live/dong-thap-tv1.m3u8
43.80ms,新疆衛視,https://t.freetv.fun/live/xin-jiang-wei-shi-3.m3u8
43.84ms,News CNA,https://t.freetv.fun/live/cnanews-hd-xin-jia-po-1.m3u8
43.93ms,HBO Family(USA),https://t.freetv.fun/live/cbn-family.m3u8
43.98ms,廣東民生,https://t.freetv.fun/live/yan-dong-min-sheng-gao-qing-6.m3u8
44.01ms,浙江卫视,https://stream1.freetv.fun/5ffc0c126720cc8b92d57ecd040c3eab0f42b12a63351a984b59f3a6a476735e.m3u8
44.02ms,廣東新聞,https://t.freetv.fun/live/yan-dong-xin-wen-27.m3u8
44.03ms,四川衛視,https://t.freetv.fun/live/si-chuan-wei-shi-6.m3u8
44.12ms,CCTV7,http://69.30.245.50/live/cctv7.m3u8
44.15ms,安徽衛視,https://t.freetv.fun/live/an-hui-wei-shi-5.m3u8
44.18ms,PARAMOUNT,https://t.freetv.fun/live/paramount-plus-2.m3u8
44.26ms,Домашний,https://t.freetv.fun/live/domashnii-10.m3u8
44.28ms,Megavision,https://t.freetv.fun/live/musavision.m3u8
44.34ms,潮州綜合,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-10.m3u8
44.39ms,NET TV,https://t.freetv.fun/live/ntk-tv.m3u8
44.41ms,RTHK32,https://t.freetv.fun/live/rthk-32.m3u8
44.42ms,K Plus,https://t.freetv.fun/live/europa-plus.m3u8
44.43ms,OMAN TV,https://t.freetv.fun/live/company-tv-1.m3u8
44.44ms,Action   (FR),https://t.freetv.fun/live/action-1.m3u8
44.44ms,NHK World FHD[geo-blocked],https://t.freetv.fun/live/nhk-world-2.m3u8
44.46ms,CCTV14,https://t.freetv.fun/live/cctv-14-5.m3u8
44.46ms,CCTV3,https://stream1.freetv.fun/7a262b749ab7f12e9b967b05e0bd95defc9446e9391ba6ee94407aa388a4f81e.m3u8
44.50ms,廣東少兒,https://t.freetv.fun/live/yan-dong-shao-er-26.m3u8
44.50ms,Karbala TV,https://t.freetv.fun/live/karbala-quran.m3u8
44.54ms,南昌新聞綜合,https://t.freetv.fun/live/xin-chang-xin-wen-zong-he.m3u8
44.55ms,新疆衛視,https://t.freetv.fun/live/xin-jiang-wei-shi-12.m3u8
44.58ms,Jim TV,https://t.freetv.fun/live/dim-tv.m3u8
